country,points,price
Italy,87,
Portugal,87,15
US,87,14
US,87,13
US,87,65
Spain,87,15
Italy,87,16
France,87,24
Germany,87,12
France,87,27
US,87,19
France,87,30
US,87,34
Italy,87,
US,87,12
Germany,87,24
Argentina,87,30
Argentina,87,13
Spain,87,28
US,87,32
US,87,23
US,87,20
Italy,87,19
US,87,22
Italy,87,35
US,87,69
Italy,87,13
Italy,87,10
Italy,87,17
US,86,16
France,86,
Italy,86,
Italy,86,
US,86,50
US,86,20
US,86,50
Chile,86,15
Italy,86,21
Italy,86,11
Italy,86,12
Italy,86,17
US,86,22
France,86,9
US,86,14
Chile,86,9
US,86,40
Italy,86,13
US,86,13
US,86,16
France,86,14
Italy,86,
Chile,85,22
Italy,85,14
France,85,15
Italy,85,
US,85,30
US,85,14
Italy,85,13
Chile,85,13
US,86,55
US,86,100
Italy,86,17
US,86,25
France,86,58
US,86,26
France,86,24
France,86,15
US,86,46
US,86,12
France,86,55
US,86,12
US,86,40
Italy,86,32
US,86,75
US,86,55
US,86,75
Germany,86,9
Australia,86,18
US,86,25
Portugal,86,
Chile,86,12
Spain,86,16
France,86,11
Australia,86,20
US,86,24
Germany,86,10
US,86,20
US,86,55
Italy,86,29
Italy,88,19
US,88,23
US,88,18
US,88,55
Austria,88,12
US,88,22
France,88,20
France,88,18
US,88,20
Italy,88,30
US,88,75
US,88,18
US,87,20
US,87,20
Chile,87,18
Italy,87,16
Italy,87,14
Italy,87,30
Italy,87,18
US,87,26
Italy,87,30
France,87,23
US,87,85
Italy,87,15
Italy,87,19
US,87,18
US,87,18
US,87,25
US,87,44
Italy,87,80
France,92,80
Italy,92,70
US,92,36
US,92,39
Australia,92,40
US,92,45
South Africa,91,45
France,91,48
France,91,13
France,91,17
South Africa,91,25
Italy,91,70
France,91,20
South Africa,91,30
Italy,91,68
US,91,78
Italy,91,60
France,91,50
South Africa,90,
France,90,10
France,90,112
Italy,90,26
Italy,90,45
US,90,17
France,90,84
US,91,85
US,91,64
US,91,68
US,91,68
Germany,91,16
US,91,35
US,91,25
Portugal,91,30
US,91,55
US,91,46
Spain,91,50
US,91,36
Germany,91,14
Portugal,91,26
Italy,91,38
Italy,91,
France,91,35
US,91,35
US,91,28
France,91,
Chile,91,29
Chile,91,32
France,91,25
US,91,28
US,91,95
US,91,44
Germany,91,30
Germany,91,22
Chile,91,20
US,91,38
New Zealand,88,19
Italy,88,25
Chile,88,50
Italy,88,22
US,88,25
France,88,27
US,88,23
US,88,36
Italy,88,
Argentina,88,12
US,88,35
Chile,88,15
US,88,40
Italy,88,48
Chile,88,11
Chile,87,11
Italy,87,26
Australia,87,30
Italy,87,20
France,87,35
Italy,87,
Italy,87,35
Italy,87,18
South Africa,90,23
US,90,60
US,90,28
Italy,90,
Italy,90,62
Israel,90,50
Portugal,90,28
US,90,30
US,90,25
US,90,25
US,90,32
South Africa,90,40
France,90,16
South Africa,90,20
France,90,32
Spain,90,40
US,90,48
US,90,36
Israel,90,80
Italy,90,57
Portugal,90,20
US,90,20
Hungary,90,36
US,90,40
Italy,90,40
Italy,90,
Italy,90,
Argentina,90,22
South Africa,90,25
South Africa,90,20
US,85,15
US,85,14
US,85,18
US,85,16
Argentina,85,10
Australia,85,12
US,85,28
Italy,85,10
US,85,49
US,85,85
Italy,85,18
Australia,85,29
US,85,36
France,85,9
US,85,34
US,85,15
US,85,30
Spain,85,13
Argentina,85,12
Australia,85,15
US,85,25
US,85,45
US,85,18
US,85,49
US,85,22
US,85,35
Argentina,85,15
US,89,45
US,89,55
South Africa,89,20
South Africa,89,18
South Africa,89,35
France,89,13
US,89,40
Argentina,89,37
US,89,39
US,89,60
South Africa,89,19
South Africa,89,40
Argentina,89,14
Italy,89,40
Italy,89,36
Austria,89,17
Italy,89,25
Greece,89,15
Italy,89,26
Argentina,89,19
Italy,89,13
Argentina,89,30
US,89,20
US,89,30
US,89,50
Italy,89,52
Austria,92,24
US,92,34
Italy,92,41
US,92,52
Argentina,92,215
Austria,92,
US,92,60
Spain,92,40
Austria,92,
US,92,125
France,92,
Italy,92,
France,92,45
Australia,92,70
Argentina,92,30
US,87,35
Chile,87,20
US,87,15
Chile,87,19
Italy,87,
US,87,28
US,87,14
Italy,87,
Italy,87,56
Italy,87,
US,87,24
Romania,87,7
France,87,30
Greece,87,18
Italy,87,20
Italy,87,18
New Zealand,87,18
US,87,40
Italy,87,
US,87,28
Italy,86,15
France,86,
France,86,
Chile,86,18
Italy,86,20
Italy,86,22
Italy,86,16
Italy,86,18
Chile,86,35
Italy,86,12
US,86,11
Italy,86,15
Chile,86,18
US,86,16
US,86,34
US,86,40
Chile,86,15
Italy,86,19
Italy,86,18
France,86,42
Italy,86,15
Chile,83,35
France,83,16
France,82,11
Spain,82,13
France,82,18
US,82,48
Spain,82,11
Chile,81,20
Chile,80,19
Australia,100,350
Australia,98,350
Germany,97,775
Australia,97,100
Australia,97,225
Italy,97,150
Hungary,96,320
US,96,68
France,96,630
Germany,96,365
US,96,68
Australia,95,85
France,95,350
Germany,95,66
France,95,110
Australia,95,125
Italy,95,60
US,95,200
France,95,380
US,95,48
Australia,95,60
Italy,88,21
Chile,88,10
Italy,88,11
Italy,88,21
US,88,160
Italy,88,23
Italy,88,10
Italy,88,15
US,88,19
Italy,88,40
Italy,88,18
Greece,88,
Mexico,88,18
Italy,88,15
Chile,88,12
Italy,88,11
Chile,88,15
Italy,88,9
Italy,88,30
US,88,18
US,88,34
US,88,17
US,88,25
Italy,88,15
Chile,88,12
Chile,88,14
US,87,12
Chile,87,11
Chile,87,12
Italy,87,
US,85,16
Chile,85,15
Chile,85,13
Italy,85,24
Italy,85,13
Italy,85,19
Chile,85,11
US,85,15
US,85,45
Italy,85,19
France,85,30
Chile,85,14
Italy,85,15
US,85,20
US,85,20
US,85,12
Italy,85,20
Italy,85,13
Italy,85,16
US,85,14
Italy,85,14
Italy,85,
Austria,85,
France,89,20
France,89,
US,89,30
US,89,20
Austria,89,23
US,89,30
US,89,18
Spain,89,18
US,89,35
Austria,89,17
US,89,42
US,89,30
US,89,24
US,89,16
US,89,27
Italy,89,89
Austria,89,
Italy,89,15
US,89,54
Spain,89,15
Spain,89,42
US,89,38
Austria,89,12
US,89,35
US,88,32
Austria,88,12
Italy,88,28
US,88,20
France,88,14
France,88,19
Italy,92,39
France,92,
Italy,92,35
France,92,
France,92,69
Canada,92,30
US,92,40
US,92,23
US,92,45
Italy,92,50
France,92,100
US,92,50
US,92,29
France,92,66
France,92,60
Germany,92,115
Italy,92,69
France,92,
US,92,65
Germany,92,42
Germany,92,27
France,92,70
France,92,73
France,92,72
Portugal,92,34
France,92,
US,92,130
US,92,88
France,92,65
France,92,
Italy,87,15
US,87,45
Italy,87,18
US,87,60
South Africa,87,12
South Africa,87,12
France,87,13
US,87,13
Italy,87,15
Italy,87,18
Italy,87,13
Spain,87,19
Austria,87,18
US,87,30
US,87,35
US,87,12
US,87,18
Spain,87,25
US,87,30
US,87,17
France,87,20
Spain,87,11
US,87,15
Austria,87,18
US,87,19
France,87,15
Spain,87,16
Italy,87,12
US,87,28
US,87,28
US,91,65
US,91,48
France,91,70
France,91,59
US,91,90
Chile,91,35
US,91,75
US,91,55
US,91,55
France,91,60
US,91,36
US,91,35
US,91,35
US,91,55
US,91,65
US,91,35
US,91,49
US,91,55
Germany,91,30
France,91,42
US,91,45
Chile,91,24
US,91,50
US,91,50
US,91,50
US,91,38
Germany,91,22
US,91,50
US,91,110
US,91,45
US,93,42
US,93,60
US,93,42
Italy,93,30
US,93,75
US,93,54
US,93,85
US,93,50
US,93,150
US,93,85
Italy,93,90
US,93,35
US,93,46
France,93,20
Argentina,93,42
France,93,40
US,93,75
Spain,93,88
US,93,40
US,93,25
US,93,48
US,93,45
US,93,50
US,93,65
US,93,48
US,93,62
US,93,100
US,93,53
Argentina,93,55
US,93,70
US,89,38
US,89,50
US,89,25
Italy,89,15
France,89,14
France,89,11
France,89,14
France,89,37
US,89,17
France,89,15
US,89,13
US,89,18
US,89,26
US,89,18
US,89,32
Austria,89,18
US,89,25
Austria,89,18
Austria,89,20
US,89,18
Austria,89,
US,89,17
Austria,89,13
US,89,41
Austria,89,16
France,89,20
US,89,30
Greece,89,13
Austria,89,24
US,89,36
US,87,20
Italy,87,19
Mexico,87,15
US,87,69
US,87,36
Spain,87,35
Argentina,87,30
US,87,25
US,87,25
Portugal,87,15
US,87,20
US,87,17
US,87,54
US,87,40
Portugal,87,12
Italy,87,19
Argentina,87,11
US,87,45
Italy,87,25
US,87,35
Italy,87,16
Italy,87,20
US,87,28
US,87,25
US,87,28
US,87,20
Italy,87,15
Italy,87,23
Italy,87,19
Australia,92,35
US,92,75
US,92,48
France,92,54
France,92,34
Australia,92,60
US,92,48
Spain,92,28
Australia,92,125
France,92,45
France,92,36
France,92,30
US,92,37
US,92,25
Portugal,92,30
US,92,60
US,92,40
US,92,50
Portugal,92,23
Portugal,92,80
Germany,92,34
US,92,75
Italy,92,24
France,92,39
Australia,92,21
US,92,35
France,92,43
US,92,30
US,92,70
South Africa,92,50
US,90,40
US,90,45
US,90,80
US,90,15
Italy,90,65
US,90,65
Italy,90,35
Italy,90,25
US,90,20
Spain,90,15
US,90,26
US,90,30
US,90,13
US,90,45
US,90,26
US,90,44
US,90,38
US,90,28
US,90,32
Italy,90,50
Italy,90,35
US,90,35
Spain,90,25
US,90,42
Italy,90,45
Italy,90,70
US,90,30
US,90,75
Italy,90,53
US,90,29
US,91,90
US,91,35
Austria,91,35
US,91,50
Italy,91,35
US,91,65
South Africa,91,50
Italy,91,43
New Zealand,91,28
Austria,91,
US,91,20
South Africa,91,40
Argentina,91,30
France,91,65
France,91,17
France,91,
France,91,20
New Zealand,91,28
France,91,20
France,91,20
France,91,25
US,91,38
New Zealand,91,120
US,91,23
US,91,48
US,91,32
New Zealand,91,50
Argentina,91,28
New Zealand,91,30
France,91,25
Portugal,85,8
France,85,15
Portugal,85,22
Argentina,85,14
Argentina,85,25
Portugal,85,8
US,85,14
Italy,85,80
Portugal,85,9
US,85,13
Argentina,85,17
Portugal,85,10
US,85,16
France,85,10
France,85,22
France,85,40
Argentina,85,15
Argentina,85,17
US,85,32
Portugal,85,12
Argentina,85,17
Italy,85,102
US,85,
France,85,10
France,85,20
US,85,33
Italy,85,48
Portugal,85,12
Australia,85,9
US,87,24
US,87,75
France,87,12
US,87,45
Chile,87,13
France,87,
US,87,22
Spain,87,10
US,87,18
US,87,35
US,87,36
US,87,34
US,87,70
US,87,28
Chile,87,19
Spain,87,14
Spain,87,10
US,87,45
US,87,32
Australia,87,18
Spain,87,9
Australia,87,11
Italy,87,30
France,92,62
US,92,40
France,92,66
Portugal,92,32
US,92,70
US,92,48
France,92,72
Italy,92,18
US,92,105
France,92,101
Italy,92,50
Italy,92,85
US,92,35
US,92,38
Portugal,90,32
Argentina,90,25
Portugal,90,12
US,90,125
Argentina,90,46
Germany,90,29
US,90,17
US,90,85
France,90,30
US,90,34
US,90,22
France,90,35
France,90,45
France,90,20
France,90,17
France,90,45
US,90,20
US,90,50
France,90,22
US,90,39
US,90,35
US,90,15
US,90,27
Australia,90,66
Italy,90,32
Spain,90,20
US,90,125
Germany,90,16
US,90,42
Australia,90,22
Italy,86,
US,86,18
US,86,22
Chile,86,12
France,86,15
France,86,9
Spain,86,12
Spain,86,15
Italy,86,20
US,86,28
US,86,10
Italy,86,70
Italy,86,28
Chile,86,11
France,86,30
US,86,26
France,86,15
France,86,23
France,86,
Italy,86,30
Chile,86,10
France,86,12
Spain,86,13
Spain,86,15
US,86,36
US,86,20
France,86,
US,86,10
France,86,16
US,86,25
Italy,90,24
Italy,90,
France,90,24
France,90,33
France,90,
France,90,70
France,90,117
France,90,
France,90,16
Germany,90,30
US,90,20
US,90,35
Italy,90,25
US,90,28
US,90,15
US,90,150
US,90,45
Italy,90,30
Italy,90,19
US,90,45
Germany,90,40
Italy,90,
Australia,90,25
US,90,40
Chile,90,15
US,90,42
US,90,29
US,90,42
US,90,18
Hungary,90,16
Portugal,90,40
Portugal,90,
Spain,90,50
Italy,90,
France,90,35
France,90,45
US,90,20
Spain,90,44
US,90,22
Italy,90,
US,90,28
US,90,27
France,90,25
Portugal,90,60
US,90,72
US,90,44
US,90,28
US,90,29
US,90,58
Australia,90,15
Italy,90,29
Italy,90,45
US,90,70
US,90,39
Italy,90,
Italy,90,28
Spain,90,48
Portugal,90,50
US,87,22
Germany,87,10
Italy,87,50
US,87,30
